,compare,frequency,seed,human_seed,updates,utility,position
287,s_s_keep,25,4444,100,39,0.0467000000000003,17.84119808
288,s_s_keep,30,4444,100,33,0.0556000000000003,19.69748582599999
289,s_s_keep,35,4444,100,28,0.0555000000000003,21.80873419600002
290,s_s_keep,40,4444,100,24,0.0588000000000004,24.08761440000002
291,s_s_keep,45,4444,100,22,0.0639000000000004,29.41658269400003
292,s_s_keep,50,4444,100,19,0.0649000000000004,32.10513695299998
293,s_s_keep,55,4444,100,18,0.0605000000000003,31.979861206999985
294,s_s_keep,60,4444,100,16,0.0778999999999999,37.14221000199995
295,s_s_keep,65,4444,100,15,0.0764,34.85885887900005
296,s_s_keep,70,4444,100,14,0.0757000000000001,37.20044064699995
297,s_s_keep,75,4444,100,13,0.0876999999999998,41.98570085799999
298,s_s_keep,80,4444,100,12,0.0808999999999999,41.64574538899996
299,s_s_keep,90,4444,100,11,0.0986999999999995,40.74169012
300,s_s_keep,100,4444,100,9,0.0857,44.42474749400004
301,s_s_keep,5,5555,100,199,0.0125999999999999,3.665729443
302,s_s_keep,10,5555,100,99,0.0303000000000001,7.814762613000005
303,s_s_keep,20,5555,100,49,0.0429000000000002,15.24675512
